Country Name,Country Code,Indicator Name,GDP_2012,GDP_per_capita_2012
Aruba,ABW,GDP (current US$),2534636872,24713.69805
Afghanistan,AFG,GDP (current US$),20001615789,641.8720338
Angola,AGO,GDP (current US$),1.28E+11,5100.095808
Albania,ALB,GDP (current US$),12319784886,4247.614342
Andorra,AND,GDP (current US$),3164615187,38392.9439
Arab World,ARB,GDP (current US$),2.79E+12,7503.174184
United Arab Emirates,ARE,GDP (current US$),3.75E+11,40976.49971
Argentina,ARG,GDP (current US$),5.46E+11,13082.66433
Armenia,ARM,GDP (current US$),10619320049,3681.857456
American Samoa,ASM,GDP (current US$),644000000,11568.793
Antigua and Barbuda,ATG,GDP (current US$),1211411704,13399.23795
Australia,AUS,GDP (current US$),1.55E+12,68012.1479
Austria,AUT,GDP (current US$),4.09E+11,48567.69529
Azerbaijan,AZE,GDP (current US$),69683935845,7496.294648
Burundi,BDI,GDP (current US$),2333308099,252.3589799
Belgium,BEL,GDP (current US$),4.98E+11,44826.43961
Benin,BEN,GDP (current US$),8152554487,837.9429209
Burkina Faso,BFA,GDP (current US$),11166063467,673.8215984
Bangladesh,BGD,GDP (current US$),1.33E+11,883.1050005
Bulgaria,BGR,GDP (current US$),53903022339,7378.02473
Bahrain,BHR,GDP (current US$),30749308511,23654.35139
"Bahamas, The",BHS,GDP (current US$),10720500000,29485.62093
Bosnia and Herzegovina,BIH,GDP (current US$),17226849297,4778.636088
Belarus,BLR,GDP (current US$),65685102555,6940.159254
Belize,BLZ,GDP (current US$),1563827850,4626.709615
Bermuda,BMU,GDP (current US$),5537537000,85458.45551
Bolivia,BOL,GDP (current US$),27084497540,2609.880819
Brazil,BRA,GDP (current US$),2.47E+12,12370.0242
Barbados,BRB,GDP (current US$),4656350000,16412.9362
Brunei Darussalam,BRN,GDP (current US$),19048495519,47741.90647
Bhutan,BTN,GDP (current US$),1823692110,2599.396094
Botswana,BWA,GDP (current US$),16067155187,7877.79035
Central African Republic,CAF,GDP (current US$),2510270268,565.8330584
Canada,CAN,GDP (current US$),1.82E+12,52542.34666
Central Europe and the Baltics,CEB,GDP (current US$),1.35E+12,12998.66527
